id,tweet,class,prediction
453,american americanair father love work well panam,positive,positive
454,delta jetblu nope current sit gate,neutral,neutral
455,airway usairway idea geek plug server way phx,neutral,neutral
456,unit unit got rebook one question though automat refund check baggag fee flight cancel flightl,negative,negative
457,unit unit suntoshi still like unit airlin,positive,negative
458,american americanair awesom flight morn awesom crew even land earli,positive,positive
459,unit unit joni great job flight lax thank great flight,positive,positive
460,southwest southwestair thank lot send special deal budget get screw best vacat sarcasm get new partner,negative,positive
461,airway usairway get thru hold hour minut normal call lost,negative,negative
462,unit unit pleas follow,neutral,neutral
463,american americanair dai_presid good luck dfw even,positive,neutral
464,unit unit educ staff need also turn away first class cabin passeng mileag plus,negative,neutral
465,delta jetblu flight savannah,neutral,neutral
466,airway usairway tri get partner pnr spent hour hold know snow somewher aw,negative,negative
467,unit unit happen flight status map cool,neutral,neutral
468,unit unit help get iah sfo earlier tonight,neutral,neutral
469,unit unit reflight book problemss last day time unit wait time second kudo excel custom servic,positive,negative
470,unit unit land den time stuck wait gate min mayb updat would good idea capt,negative,negative
471,southwest southwestair guy rule thank,positive,positive
472,airway usairway know thank evalu chairman,positive,positive
473,airway usairway vincesview signific number folk connect minut hold would make mani happi,neutral,negative
474,airway usairway americanair make spirit look like gem air travel handl winter storm well,negative,positive
475,unit unit condit bos today everyth appear time want check,neutral,neutral
476,airway usairway flight delay miss connect flight pleas help altern thank,negative,negative
477,delta shannonwoodward want keep updat wear amp amp win nice like,neutral,positive
478,airway usairway amp americanair flight cancel flightl yesterday delay today rob daughter day grandpar thank,neutral,negative
479,unit unit glad solv prob experi remain fli unit,negative,positive
480,american americanair boss,positive,neutral
481,southwest southwestair easili get atlanta show need ticket help,neutral,neutral
482,unit unit like thank recogn terri dull go way get back raleigh flight,positive,positive
483,unit unit loyal premier platinum member lack communic realli bad also dont see taken yet,negative,negative
484,southwest southwestair pleas question,neutral,neutral
485,airway usairway way could hold flight clt husband stuck secur check line flight schedul,neutral,negative
486,delta jetblu read nice glass wine right dig heel next novel mayb travel need,neutral,neutral
487,airway usairway pleas pleas pleas let plane back gate get miss connect due clt close,neutral,negative
488,american americanair idea flight,negative,neutral
489,american americanair flight tomorrow cancel flightl new one book seat taken care tweet commend servic thank,positive,negative
490,delta jetblu haha know time lane open logan,positive,neutral
491,delta jetblu tri tire get grumpi,negative,neutral
492,american americanair record locat,neutral,neutral
493,southwest southwestair glad final resolv bad get free voucher mine friend travel next time,positive,positive
494,virgin america virginamerica nervous flight lax get cancel flightl tomorrow sent help,neutral,neutral
495,unit unit took hour half though,negative,negative
496,american americanair thank contact american email address written unmonitor account,neutral,neutral
497,delta jetblu ive tri phone laptop,negative,negative
498,airway usairway cancel flight flight told call rebook hold minut still wait,negative,negative
499,southwest southwestair offici worst custom servic airlin ever dealt southwestairlin poor,negative,negative
500,american americanair flight attend announc transport wait flight think make,neutral,negative
501,unit unit thank repli contact custom care get clarif issu,positive,positive
502,southwest southwestair land earli morn bwi_airport snowfal,neutral,neutral
503,unit unit bwood prefer everyon hear complaint amount airlin,negative,negative
504,delta jetblu thank liveri cultur crewmemb embodi daili thanksdav,positive,positive
505,american americanair right two hour late flight seem due poor communic sound like annoy plane staff,negative,negative
506,unit unit sincer thank pilot flight brave snow get home amongst mani cancel flightlat,positive,positive
507,virgin america virginamerica guy flight cmh,neutral,positive
508,southwest southwestair horribl custom servic empti seat earli flight wantcharg doubl get home earli instead usual late flight,negative,negative
509,unit unit okc ticket agent roger mclarren less help intl group travel problem find supervisor help,negative,neutral
510,delta jetblu thank answer question,positive,positive
511,unit unit nut,neutral,neutral
512,southwest southwestair thank great custom servic today,positive,positive
513,airway usairway add tsa pre number exist reserv,neutral,neutral
514,unit unit got right safeti demonstr corpor funni reserv corni,positive,neutral
515,southwest never got strip fast stoke special imaginedragon show tonight thx southwestair,positive,positive
516,airway usairway hold hour tri reschedul cancel flightl flight anyon pleas help,negative,negative
517,american americanair approach three hour sit plane ground dfw americanairlin flight oscar perform,negative,negative
518,unit unit done,neutral,neutral
519,unit unit awesom book next christma vacatinn decemb way want devalu mileag plus,positive,neutral
520,unit unit interview yesterday flight attend last person recruit said lost file came back interview,negative,negative
521,airway usairway thank gate agent state colleg abl get earlier flight figur earlier connect,positive,positive
522,delta jetblu also parti sister mom three separ reserv tsa let togeth alon,neutral,neutral
523,delta jetblu take info begin cut call back medic practic frequent flyer,negative,negative
524,american americanair unit deplan hare gate send custom servic rep discuss situat god know,negative,negative
525,unit unit hear guitar damag decemb use guitar earn live get act togeth,negative,neutral
526,virgin america virginamerica call week ago ad flight elev still shown help,negative,negative
527,delta jetblu worst postpon trip accommod guest like southwestair neveragain,negative,negative
528,virgin america virginamerica interest fli cancel flight next four flight plan neverflyvirginforbusi,negative,neutral
529,unit unit request ticket chang twitter,neutral,neutral
530,southwest southwestair awesom flight dalla virgin america refus child peanut allergi guy thank ___,positive,positive
531,unit unit flight two delay cancel flightl flight norfolk book rent car,negative,negative
532,southwest southwestair use point book rental car,neutral,neutral
533,southwest southwestair best,positive,positive
534,southwest southwestair continu amaz amaz custom servic thank swa,positive,positive
535,airway usairway problem flight gainesvill airway clt miss connect flight iad get anoth flight,negative,neutral
536,american americanair number even let wait next custom rep frustrat talk human,negative,negative
537,delta jetblu thank,positive,positive
538,delta jetblu valentinesday email point amp clever thank amaz jetblu loveisintheair,positive,positive
539,delta jetblu worri delay minor dealt nice captain flight way,positive,positive
540,unit unit sent thank,positive,positive
541,southwest southwestair look like brood sky ont even,neutral,negative
542,delta jetblu mint seat awesom emaleesugano best busi class,positive,positive
543,delta jetblu jetbluebo luggag flt dca bos pax wait min bag show carousel sign updat,negative,negative
544,unit unit process purchas ticket price chang unbeliev ripoff pricediscrimin,negative,neutral
545,southwest southwestair parent flight frm stlatl cancel flight nite next one,negative,neutral
546,unit unit frontier,neutral,neutral
547,airway usairway yes thank took forev,negative,positive
548,american americanair pilot admit delay entir incompet poor equip check,negative,negative
549,virgin america virginamerica getaway deal may one way lot cool citi cheapflight farecompar,neutral,positive
550,american americanair flight way,neutral,neutral
551,american americanair needknow ill abl reach ind today rather stay maf fli dfw amp find travel,negative,positive
552,american americanair thank flight today great crew,positive,positive
553,airway usairway final spoke person despit mind boggl wait time rep pleasant help kudo,positive,positive
554,delta jetblu amaz thank,positive,positive
555,unit unit move americanair unit talk servic,negative,neutral
556,american americanair curious thank respons alway good bad better competit,positive,positive
557,unit unit unfortun still tarmac flyohar definit miss ride flypdx gonnabealongnight,neutral,negative
558,american americanair yet wait connect agent,neutral,negative
559,american americanair right cue delays_,negative,neutral
560,airway usairway got email ask checkin tmrw flight meant book someon pleas help wallstslumlord pkg,neutral,neutral
561,virgin america virginamerica ladygaga carrieunderwood entertain,neutral,neutral
562,virgin america virginamerica put great deal pdx las las pdx show love,positive,positive
563,delta cool thx coupl pgashow flight til mosaic wait easier chang flight weather bad jetblu,positive,positive
564,american americanair aftr hrs bng held hstg mia refsd get med bag bag fnd refsd fix tkts cnceld said fli,negative,negative
565,unit unit book award tix thaiairway see conf unit flight book problem get get thai,neutral,neutral
566,american americanair merg mile usairway complet month,neutral,negative
567,delta jetblu leopolds_ friend pictur phillip heller jfk ifc said delici,positive,neutral
568,virgin america virginamerica never rec cancel flightlat notic left option fli drive red eye mon kid,negative,negative
569,unit unit play along home,neutral,neutral
570,unit unit went custom servic kiosk abl help still thank follow,positive,positive
571,american americanair runway dfw fli late flightr today thank,neutral,positive
572,american americanair go pathet onlin work phone want give seat assign,negative,negative
573,delta jetblu hour polici call said report soon enough would chang notic sooner,negative,negative
574,southwest southwestair imaginedragon beatsmus well time tweet board listen way home,positive,positive
575,southwest southwestair three cheer denver staff know get keep smile,positive,positive
576,airway usairway despit tailwind_ still late flight,negative,negative
577,airway usairway chang without penalti call custom servic,neutral,negative
578,southwest southwestair ugh kick miss destinationdragon need imaginedragon back life,neutral,neutral
579,southwest southwestair hold custom servic hour help,negative,negative
580,airway usairway provid info check stroller car seat cost restrict need bring seat stroller,neutral,neutral
581,southwest southwestair flight vega come soon havent receiv drink ticket late flight help,neutral,neutral
582,american americanair pleas help flight appear cancel flight lauderdal dalla lax anyth leav mia fll thxu,neutral,neutral
583,delta jetblu thank offer servic guy,positive,positive
584,airway usairway seem like team fail scan bag lax recycl bagtag number help usairwaysfail,negative,negative
585,unit unit bagag take cabin dont need check correct,neutral,neutral
586,unit unit,positive,neutral
587,unit unit sfo clearvis tvu unit termin sfo airport,neutral,neutral
588,southwest southwestair follow await,neutral,neutral
589,southwest southwestair favorit airlin never issu plus crew entertain,positive,positive
590,southwest southwestair suppos say boo book booo,neutral,neutral
591,unit unit yes lhrt loung fantast one could remot similar,positive,neutral
592,airway usairway peopl line wait minut custom servic repres,negative,negative
593,airway usairway still get real person phone book flight readi jetblu sinc care usairwayssuck,negative,negative
594,unit unit frustrat well way relat flightd anyway impress made,positive,positive
595,unit unit holi high speed internet batman speed unit club iad insan fast thank,positive,positive
596,airway usairway yes pay pocket help loos first class ticket coach want resolut comp,negative,neutral
597,delta jetblu alreadi ticket total beach right flightland sunscreen feelsgood,neutral,neutral
598,airway usairway least get respons tri gate person sent wrong way cust srvc cust srvc found,negative,negative
599,delta jetblu guy realli bad jetblu fail someon better call wife back get handl wait hold,negative,negative
600,airway usairway americanair incompet,negative,neutral
