id,tweet,class,positive_probability,negative_probability,neutral_probability,predicted
215,unit unit concern address,negative,5.834630280108362e-12,2.081500276668633e-11,7.301217888024528e-11,neutral
216,delta jetblu ceo battl appeas passeng wall street lake wyli pilot,neutral,2.102461564224921e-31,2.8858626261538303e-32,3.240084499143506e-26,neutral
217,southwest southwestair gate agent gave wrong departur info caus miss flight stand nothappi,negative,1.4819282203208351e-41,9.670405364574577e-38,2.359207304289235e-40,negative
218,unit unit final got help appreci,positive,1.7574998941434304e-14,2.1957375875006647e-15,5.634626818723644e-16,positive
219,unit unit economi plus cabin also qualifi premium cabin,neutral,6.728395974831698e-26,2.3130554834777333e-25,6.198990883462389e-25,neutral
220,american americanair flight get rest wait anoth hour receiv autom phone call neveragain,negative,3.7866269109544553e-39,2.4531691250409e-35,5.933912851441497e-39,negative
221,southwest southwestair tri enter rapid reward contest link facebook browser kept pop secur warn,negative,2.531127400598594e-46,2.598441222183122e-47,2.3238413438377046e-44,neutral
222,southwest southwestair flight everyon nice help hope get fli thank,positive,1.951123161614018e-23,1.3709441305609267e-26,4.970504314094306e-26,positive
223,unit unit agent work slowli rebook peopl wast entir day stt,negative,1.2475315590455138e-26,4.092995575943085e-24,5.5614508082956666e-27,negative
224,delta welllllll jetblu fleet fleek,neutral,7.136460959358831e-11,1.0101044723443595e-12,7.692329532975881e-10,neutral
225,delta jetblu disabl seat row get board earlier,neutral,4.7549059288947785e-24,1.9990549778829264e-23,3.4698854501751966e-23,neutral
226,unit unit jedediahbila travel tri cheer bila,neutral,1.6917111280525002e-17,2.372495153232083e-17,3.176382765456956e-17,neutral
227,airway usairway thank glad head home great peopl call center,positive,2.64616215245871e-28,4.6482002587495875e-29,8.040504566991024e-31,positive
228,delta jetblu mani choic south border know everi airlin equal lowest price best valu,positive,6.387384382549078e-38,1.146938412039557e-39,8.970359278196445e-38,neutral
229,unit unit shame flex ticket transfer rule even call neurosurgeri icu enough,negative,5.433226474648643e-21,1.0781305812188614e-18,3.511108436393097e-20,negative
230,airway usairway guess weather rough tri sort miss air mile day suggest,negative,4.372404984460995e-38,8.84457891415544e-37,3.037246646911079e-38,negative
231,delta jetblu havana cuba share love photographi leav pictur behind well deliv much need item flyingitforward,neutral,3.5060817576164144e-48,3.184777484120564e-51,1.0915530584066461e-48,positive
232,delta jetblu cours,neutral,4.1910849334101226e-08,2.1018590562032215e-09,9.389947085080904e-09,positive
233,unit unit airlin flight need make hold plane,neutral,2.085382227449399e-20,4.657924046725447e-18,2.0710534051315505e-19,negative
234,delta jetblu shocker flight delay hour thank remind switch delta,negative,3.230155149067756e-23,1.0853472495190833e-23,4.874012825140161e-24,positive
235,delta jetblu readi disneyworld rundisney princesshalf,positive,5.947050799465692e-12,1.683507453907266e-13,2.652527425164097e-12,positive
236,american americanair love american airlin,positive,6.8991424968596196e-12,1.5756352534026763e-12,2.232340522843764e-12,positive
237,unit unit roundtrip ticket dramat cheaper virgin pretti pricey via unit match,neutral,7.629454105129495e-38,3.775460862822528e-37,2.4415870592456812e-36,neutral
238,southwest southwestair thank get look like bwi sjd servic stop aug case cant find one date flight,neutral,2.2417269158530527e-46,1.2416176188079017e-45,1.4782301963655643e-45,neutral
239,delta jetblu thank respons next flight flight,positive,2.6938856738818903e-15,3.0773869252001386e-17,2.99966635231452e-16,positive
240,american americanair redeem aadavantag mile lan flight,neutral,2.034359777893169e-18,7.527246021178034e-18,3.4063133007381716e-17,neutral
241,southwest southwestair sign,positive,3.062754886661533e-08,1.82248737789755e-09,4.930289245457638e-08,neutral
242,delta jetblu want help find seat quot term condit jetbluefail,negative,9.515140336377929e-28,1.321014716593555e-27,2.1790458389844242e-27,neutral
243,delta jetblu idea novemb decemb travel open,neutral,6.041359444032056e-23,4.498344861708192e-23,6.417778349010457e-21,neutral
244,unit unit yes still know told might flight one confirm,negative,6.040416986183125e-28,4.1991332062683485e-26,6.36690124331129e-26,neutral
245,southwest southwestair got tsa pre check amp put acct board pass flight updat,negative,3.255682305566389e-39,1.1250655544077956e-38,4.463647732336857e-37,neutral
246,delta jetblu phone agent see flight see onlin chang ticket even pay frustrat jetblu,negative,3.762994339760665e-39,1.2775970620077482e-37,9.864959821484925e-38,negative
247,unit unit nope told time home sleep airport even though assur would get room,negative,2.551249114029803e-42,2.518489030903448e-40,1.3160525355829287e-41,negative
248,unit unit line denver rebook due weather issu better,negative,3.59407901534541e-27,2.4210700294009108e-24,1.0677985551927686e-26,negative
249,delta jetblu thank use phone instead comput work thx,positive,1.3658389256599492e-25,4.229165081798603e-26,9.005528975560627e-26,positive
250,american americanair hang what new,neutral,2.5466704593286604e-15,4.55649292481977e-15,2.1825066216494354e-15,negative
251,american americanair hahahaha crazi well anoth night airport,negative,5.1049162707215734e-21,3.157020212035204e-20,6.5019827642316686e-21,negative
252,virgin america virginamerica minus minut elev silver upgrad window open freeneversuck,positive,4.251011905486366e-30,3.993836550656651e-30,2.929926611392101e-29,neutral
253,unit unit spend afternoon mia fault loung inconveni,negative,1.6820989937079242e-26,2.741399091529166e-26,1.1479612747152572e-26,negative
254,southwest southwestair fli chicago lax phx spot lax phx airport fli back chicago,neutral,1.625146075560982e-33,7.793343515590312e-35,1.3306129675436416e-34,positive
255,unit unit offer voucher switch flight voucher offer doesnt exist amp gate agent switch delay flight,negative,9.435064365202513e-49,2.592907608515162e-44,1.7744642411446914e-46,negative
256,unit unit flt departur time chang five time last minut figur solut announc,negative,5.181208678850894e-41,6.701894170780085e-38,1.3644281442963051e-40,negative
257,delta jetblu thank,positive,4.044396960740768e-06,4.413904018026765e-08,4.88277248424207e-07,positive
258,delta jetblu ________ yall realli better american airlin though,positive,7.91408582005545e-26,1.5233805055062053e-26,6.494411127953578e-27,positive
259,virgin america virginamerica anoth rep kick butt naelah repres team beauti thank,positive,1.9558434872314346e-29,4.6784028476855054e-33,3.043124141262126e-32,positive
260,unit unit tourist wonder super tide tide centuri french coast,neutral,1.545451214104949e-14,6.946670259873959e-15,4.124981857640977e-15,positive
261,airway usairway flight dfw cancel flightl today,neutral,1.2565384945773485e-18,4.468300027096998e-17,2.6799653976126387e-18,negative
262,airway usairway look like lost anoth custom strand cgqueen clt vow never fli smoothtransit,negative,6.021896014107472e-32,1.2085868176843096e-29,4.2649017415925375e-33,negative
263,airway usairway pdquigley progress good luck patrick,neutral,3.8650078696720947e-11,2.5568907148433985e-11,6.771473242681898e-12,positive
264,southwest southwestair fortunemagazin alway tell everyon fli southwest congratul,positive,1.1504816079083476e-25,5.422949806354068e-28,1.7583585756318616e-26,positive
265,american americanair final got someon phone worri,negative,3.1962701203959846e-20,9.056701733275992e-20,1.1559080469745188e-20,negative
266,unit unit henc ask custom servic phone number speak real person get sort,negative,2.897151014180895e-35,1.2140777320039304e-32,3.8244859591954903e-35,negative
267,american americanair thank,positive,1.5256668311498464e-06,2.4858552595351637e-07,2.6666542480365513e-07,positive
268,delta jetblu best track deal special flight offer like intern option,neutral,1.5648964165761295e-32,1.442334648355299e-33,1.5697869068548883e-32,neutral
269,american americanair rebook due weather need chang reserv fli instead,neutral,4.0838728625180785e-31,3.55240592898769e-27,5.286588185140046e-28,negative
270,airway usairway thank,positive,1.2320938516763466e-06,2.3942085431114875e-07,1.2464927945128838e-07,positive
271,american americanair inch,neutral,4.1781927647888665e-05,7.389500694118219e-05,5.4461284834900335e-05,negative
272,southwest southwestair hey southwest see imaginedragon atlanta friend never love taiwan,neutral,7.362068970630247e-28,4.878942650192352e-31,1.8642010427289037e-28,positive
273,airway usairway want clog alreadi crowd line special meal request someon sort vegetarianproblem,neutral,1.989730091597424e-37,5.748827751030252e-35,1.8278150321110876e-35,negative
274,southwest southwestair awesom first time fli destinationdragon,neutral,5.0693304904336704e-18,9.86961528907658e-21,8.751507760835042e-19,positive
275,virgin america virginamerica realli experi hope forc check small carri noth empti cabin space board,negative,1.965334103845599e-48,3.465536224495286e-47,1.8536235096971456e-49,negative
276,delta jetblu love guys___,positive,5.972296030109424e-07,6.305577168609664e-09,1.7840899461653717e-07,positive
277,southwest southwestair sent,neutral,1.0209182955538443e-07,2.004736115687305e-08,1.0846636340006804e-07,neutral
278,unit unit wow deal plus seat avail easi chang make custom happi,positive,6.083111904794047e-35,1.7157123920992308e-34,7.485385065603109e-36,negative
279,unit unit admit rather good year still got hook peac,positive,1.601358109397475e-30,1.6952242309994828e-30,2.2017848474292945e-30,neutral
280,southwest southwestair show love companion flight pleas thank,positive,8.690717805863551e-20,2.7478876100889976e-22,7.293148302108337e-20,positive
281,southwest hour delay short southwestair brendanpshannon brendan sorri keep wait air short,negative,9.328607440099037e-30,1.579174674216849e-29,3.7278056365559576e-31,negative
282,delta jetblu expand nantucket aviat,neutral,1.9823502664885644e-12,8.41753726953633e-14,1.7683516167760647e-12,positive
283,delta jetblu thank,positive,4.044396960740768e-06,4.413904018026765e-08,4.88277248424207e-07,positive
284,delta jetblu love guy sooooooo much ridicul appreci servic,positive,1.0074354066284846e-20,1.6154048207824327e-23,5.694727066545544e-24,positive
285,southwest southwestair free watch daytona boss,neutral,3.863090703070076e-11,2.9194831844574288e-12,2.5997758733109955e-11,positive
286,delta jetblu far less pain come avi,positive,4.500653334190288e-15,1.0517707761695374e-15,9.740919922919001e-15,neutral
287,southwest southwestair sent way thank help,positive,2.3852621390414856e-14,5.520666837965648e-16,5.283451558514122e-15,positive
288,delta jetblu pleas come indianapoli,positive,1.0501524446444005e-14,1.928246422977485e-15,1.4286682553614535e-13,neutral
289,delta jetblu great see redsox plane remind _ni side side jfk catsanddogslivingtogeth,positive,7.34922948566122e-27,1.2658725414907386e-28,2.14888603498464e-27,positive
290,unit unit worst,negative,3.083893834551275e-08,1.1261263413490081e-06,5.169262264721366e-08,negative
291,unit unit termin gate flt take termin gate swiss air,neutral,3.361492880718938e-25,1.81333070896563e-24,9.408526304257627e-27,negative
292,american americanair award air mile yes go take vacat thanksamericanairlin,positive,7.6478564394980515e-28,2.646458458718718e-26,9.187915199703345e-27,negative
293,delta jetblu analystdoc unfortun avail option current system sorri guy certain fail fix plz,negative,2.5639328215385594e-43,1.1552465818630837e-42,9.709220271375277e-43,negative
294,american americanair suppos cancel flight onlin want lose fund ticket help,negative,6.29370733748179e-34,1.2558652674426376e-29,7.2143140513760295e-31,negative
295,american americanair delay connect pns,neutral,3.8885677170258055e-11,4.764354436433892e-10,5.2150995724313254e-11,negative
296,american americanair status itinerari say request red mean,neutral,1.916337550742137e-27,6.743068134102691e-25,9.183591474903488e-25,neutral
297,southwest southwestair happi final put southwestairlin board pass passbook make life much easier,positive,2.0836240761727624e-39,6.155661703409657e-42,5.696731065750717e-41,positive
298,american americanair mani miss connect alreadi delay flight final board soon,negative,1.3848236706869017e-31,5.726534051075664e-30,1.3942983809894414e-31,negative
299,delta jetblu home airport count badg system account say flight taken year,neutral,5.387201797105905e-37,4.389890003975964e-36,5.6426770304228896e-36,neutral
300,airway usairway tyvm usair happi night,positive,4.798810735923399e-15,1.3165522303101199e-14,1.0201842926827717e-15,negative
301,airway usairway even singl unreason human planet earth excus treatment,negative,2.556184484297896e-24,3.941556721482771e-22,1.5075729927820569e-24,negative
302,unit unit taxi bhx_offici depart newark liberti airport,neutral,7.518716124677779e-18,2.2256052094109598e-17,2.900175568460699e-17,neutral
303,southwest southwestair follow back info,neutral,3.069715439011317e-13,3.388330904508461e-14,4.2227997942198364e-13,neutral
304,southwest southwestair sev ppl offic receiv apolog mile delay apolog select ppl got noth,negative,5.966710992344418e-42,1.393557213753803e-41,8.963388040516863e-43,negative
305,american americanair still patient wait respons complaint email fri normal respons time,negative,3.8415411467547886e-33,1.4019024228599867e-31,8.100498945472426e-34,negative
306,unit unit yes plenti seat avail vicki thoma refus give one million mile flyer,negative,3.8795356535676316e-38,8.692942786636105e-36,1.4409366251285989e-36,negative
307,southwest southwestair realiz wrong departur date thank make chang easi,positive,1.4426452211050597e-30,1.6615911710736305e-30,3.618456671216984e-30,neutral
308,unit unit flight attend superben super help find bag left flight today excel custom servic name fit,positive,3.0549108214055547e-43,1.44120704528582e-42,2.1341855634991925e-45,negative
309,unit unit dad book orbitz due weather make airport help,neutral,3.9208134712859013e-25,1.6011748245637105e-23,1.659664040071046e-24,negative
310,airway usairway tri use twitter also gave help inform thank anyway,negative,2.0276145525414393e-32,9.721336695126939e-32,7.128478625233241e-33,negative
311,unit unit still frustrat gave seat amp promis travel certif withheld explan,negative,6.1242453281502735e-34,1.7533214431830805e-31,3.961490338269134e-33,negative
312,delta jetblu fleet fleek,neutral,7.136460959358831e-11,1.0101044723443595e-12,7.692329532975881e-10,neutral
313,unit unit sorri end air flight thank though get back,positive,3.674037871111141e-25,1.8695879535100376e-26,9.32639364956925e-27,positive
314,airway usairway tri get book reserv system let day ridicul,negative,4.491620316815923e-30,3.6742595166904616e-26,6.43240365359282e-29,negative
315,delta jetblu chanc actual fli charleston today cold raini weather south place,positive,5.310244072869139e-35,7.679292327834988e-35,1.2775566799040474e-33,neutral
316,unit unit never frustrat convers unit speak spanish courier compani bag,negative,3.5113345752046354e-26,1.3677705057550597e-23,3.3232506054468804e-26,negative
317,airway usairway take offlin would love info locat lost bag help appreci,negative,1.7327232880994234e-31,8.553590762846442e-31,1.6235567022726735e-32,negative
318,american americanair first ride new new interior seat video nice improv newplanesmel,positive,4.4450316870945063e-29,8.651879263176931e-31,4.963113392360605e-31,positive
319,airway usairway fyi custom servic rep carol absolut delight pleasant rebook lightn speed thank,positive,6.845190318793094e-33,8.747736525759026e-33,4.892093174179677e-35,negative
320,delta jetblu would fli somewher hotter puerto rico come lol,neutral,3.405987734044371e-27,1.613197208019991e-29,2.4765204682791733e-27,positive
321,delta jetblu need anybodi els,positive,1.784115239839708e-11,1.809770512950311e-11,4.686131784456572e-11,neutral
322,airway usairway chang correct last name via reserv alreadi said chang ticket name,neutral,2.850409369341242e-40,2.996606448063126e-38,9.664278596272993e-38,neutral
323,virgin america virginamerica issu persist,negative,5.143800596921629e-11,2.854539799270627e-12,1.1660869357001589e-11,positive
324,unit unit thank,positive,1.190383020136792e-05,1.8191271667945518e-06,2.68801637765511e-06,positive
325,delta jetblu good perspect safeti concern express point arriv airport communicationiskey,negative,9.226802750427082e-29,7.769630147337234e-29,1.884987749986526e-27,neutral
326,american americanair thank,positive,1.5256668311498464e-06,2.4858552595351637e-07,2.6666542480365513e-07,positive
327,unit unit help girlfriend ami lloyd go miss flt zurich fault need golf cart meet ord,negative,2.3868234954540776e-46,2.4847014257070714e-43,7.848546143475765e-44,negative
328,southwest southwestair best airlin one better onelov southwest bestairlin,positive,6.0618678181664506e-21,6.315683650638586e-23,1.0429206154938179e-22,positive
329,delta jetblu selfi,positive,2.0955424667050613e-08,1.0509295281016108e-09,3.7559788340323616e-08,neutral
330,delta jetblu two delay littl proactiv communic goe long way howhardcanthatreallyb,negative,1.0803965158e-31,3.764580902824713e-30,8.330391563028968e-32,negative
331,american americanair love flight back mia lhr great crew thank,positive,8.602741464859324e-26,9.576548859428967e-29,1.3522556048659138e-28,positive
332,american americanair locat code thank,neutral,1.365298329584532e-14,1.2758180189495356e-14,1.418629304072133e-14,neutral
333,american americanair time awesom flight great job american,positive,7.362199256346191e-19,1.7929186005941484e-21,3.505041591996181e-21,positive
334,southwest southwestair constant provid wonder view servic southwestluv,positive,6.499210582119631e-17,5.141279726355258e-18,6.91525390030269e-18,positive
335,delta jetblu sylvi good morn sylvi great flight yourock thank jetblu mxo henrikwagn jetbluerock,positive,1.7704489888045728e-17,2.5881107500681983e-21,2.2928656066212686e-19,positive
336,american americanair call hour reschedul flight dfw due weather even let stay hold,negative,5.256675579510094e-39,2.989576368125644e-34,3.580692554926985e-39,negative
337,southwest southwestair left comput plane two week late flightr found sent greatservic happi custom,positive,3.4862562626729277e-44,6.901308005595662e-42,4.23355502930627e-44,negative
338,unit unit need land ewr baggag claim file sent employe droppeditoffyet,negative,2.7095171887783148e-30,6.687468001408461e-28,9.494382884994663e-31,negative
339,airway usairway xna tsa precheck would nice system knew,negative,7.25433114454043e-26,2.46248637785868e-25,2.810729308576717e-26,negative
340,unit unit truli drunk uncl board believ gate agent overhead full reserv aisl,negative,4.212443876505479e-34,1.3549350859825543e-32,2.57622002674507e-34,negative
341,delta jetblu thank quick repli want make sure account,positive,3.098962268304087e-24,1.1509056016873801e-26,9.025949676185483e-26,positive
342,airway usairway seem unlik without crew board,negative,6.543832279802615e-22,3.885248768318732e-21,2.261359489173085e-22,negative
343,american americanair driver servic get employe work bad weather like hospit etc badmgmt americanairlin,negative,1.7441204996205905e-31,2.197443510338513e-31,1.2355436318808342e-33,negative
344,delta jetblu guy rock,positive,6.987784689372189e-10,1.178455217735086e-12,1.2378461317432454e-11,positive
345,airway usairway wait airplan total hour take flight today usual happen,negative,3.345497785615264e-33,1.3281862713220811e-30,1.3892361341944854e-32,negative
346,american americanair possibl chang number passeng flight book problem let chang,negative,6.591228047980927e-33,2.3584946643409176e-29,6.44583504988305e-29,neutral
347,unit unit jsumiyasu thank unit ground staff put last seat last flight home late flight still home,positive,2.2279370767115428e-41,8.464781793909204e-40,9.541694026763408e-42,negative
348,unit unit priceless unit strand daughter hare unit zero keep safe alon plastic chair unit air,negative,2.426132053358618e-44,4.998114076839477e-44,1.4078308813598112e-44,negative
349,southwest southwestair prop las employe work ref gate oppos fli las futur ___,positive,1.297233273762708e-33,8.229250056866248e-35,1.151776105927423e-34,positive
350,airway usairway lol,positive,1.9151717901704868e-08,1.1400993062435656e-08,1.677971069536574e-08,positive
351,southwest appreci repli southwestair luxclark sorri keep wait laura agent short,positive,1.213694883068147e-25,3.2067731413045823e-27,4.618751183692831e-28,positive
352,american americanair flight number,neutral,1.1366582557460048e-10,2.6073581492921797e-09,2.3477605667741768e-09,negative
353,airway usairway tri nashvill london idea would good time fli nashvill right americanair,neutral,1.665079321298475e-37,3.9912466927573535e-37,8.78656579407242e-37,neutral
354,airway usairway alreadi spent min today handl minor child shame treat year old girl like,negative,9.857125069085943e-46,8.618792228023698e-44,3.070196081018131e-46,negative
355,airway usairway appreci respons,positive,1.4493779511270356e-10,5.113781429686797e-11,7.222904792194024e-12,positive
356,american americanair let serious unhappycustom,negative,7.781493070170909e-16,1.640337452935117e-14,1.1821910867267777e-15,negative
357,american americanair guy get rid function put reserv hold hour see,negative,2.155878407285096e-33,2.896880979763661e-31,1.5947857298898842e-32,negative
358,american americanair thank,positive,1.5256668311498464e-06,2.4858552595351637e-07,2.6666542480365513e-07,positive
359,delta jetblu offer hot tea coffe gate guy make wonder ever flown airlin,positive,8.837510159726052e-39,2.387229478551811e-40,3.1534219684808585e-42,positive
360,unit unit curios flight arrang pilot notifi lot pilot arriv yet announc,neutral,4.242315774187429e-34,6.941883542014459e-32,7.060325222106406e-34,negative
361,airway usairway luggag delay look compens sinc know charg forgot,negative,7.129556058437975e-32,7.276863836450944e-29,3.262419435465503e-31,negative
362,southwest southwestair thank respons flight time pass rebook,negative,6.715884687070829e-20,6.738153497224295e-21,1.954144999607975e-20,positive
363,southwest southwestair jason gate san made afternoon southwestairlin stellarservic thank,positive,2.9077053018921693e-26,7.292040437285885e-29,2.859226923238419e-28,positive
364,unit unit airlin joke friend trap houston sinc sat flight sight unitedworstev trappedhouston,negative,1.7145779545067705e-26,6.960174785982272e-25,1.161952998575817e-25,negative
365,unit unit hubbi made skin teeth,positive,6.418093308119198e-11,3.8160838405591605e-11,7.301217888024528e-11,neutral
366,american americanair offer cot sleep cancel flightl flight fuck cot hotel like suppos provid,negative,7.853043224149755e-38,7.707461008276166e-33,8.173563458914201e-36,negative
367,delta jetblu head buffalo trade cold boston colder buffalo mayb caribbean next time,positive,1.645971460342105e-38,2.443352506851186e-41,4.028792938979455e-39,positive
368,unit unit alway make cross countri flight rad hemispheresmag babi flier charlott thtimemonthsold,positive,4.004064290083511e-30,9.31019117424371e-30,3.109597676830911e-29,neutral
369,southwest southwestair sorri sat plane hour wait engin fix got luggag lost,negative,2.5472233459644805e-37,5.081148238140031e-35,2.2328795540932e-38,negative
370,american americanair confus web site complic order process typic fli southwestair,negative,4.210433141174318e-24,5.584259388093933e-24,2.8316073714285755e-23,neutral
371,unit unit connect ord exact plane check carri appar taken amp left chicago pretti ridicul,negative,1.0728434398488704e-48,5.833810108845191e-45,3.3616392922809873e-47,negative
372,southwest southwestair got cover thank,positive,2.3980324655705076e-12,2.6517372296153183e-14,1.4548113576773933e-13,positive
373,airway usairway yes confirm number,neutral,8.569304885577496e-15,7.021611894987307e-14,7.855419053657344e-14,neutral
374,delta jetblu abc inflight channel sharktank,neutral,2.973525399732846e-12,2.525261180860899e-13,5.305054850328194e-12,neutral
375,american americanair miss flight american airlin gave ticket well passeng ticket away fault,negative,2.686259345740476e-37,7.716368385802115e-36,1.202793891619038e-35,neutral
376,american americanair cvgairport get togeth perfect combin delay cancel flightlat,neutral,3.260461610759425e-31,1.3980152625965792e-30,4.200551699263532e-31,negative
377,unit unit thx conf mqxc amp mpwnc help appreci,positive,1.5517294811596524e-18,2.89498026438398e-19,1.5917024911648712e-19,positive
378,unit unit fli sfo lax sal clo connect time lax enough time collect bag recheck,neutral,4.373530398946309e-34,6.179197067002591e-33,4.074444798909084e-34,negative
379,delta jetblu sale pleas soon need tan,neutral,1.7881698991201602e-17,1.532570090657069e-18,2.9250825258257585e-16,neutral
380,american americanair cheerupd say call center understaf,negative,1.33839459071919e-19,4.379488594139947e-17,1.0275454904187547e-18,negative
381,american americanair kudo captain crew handl fustrat peopl deal prevent issu shortcom maint,positive,4.58393892731621e-31,5.707837013901449e-32,4.947765222690219e-33,positive
382,unit unit yaayi yay prom,neutral,1.1669260560216724e-11,3.4691671277810553e-12,4.867478592016352e-12,positive
383,delta jetblu fleet fleek lol,neutral,4.05058800077126e-14,1.6181088864146728e-16,5.070273703468095e-13,neutral
384,airway usairway usairway use aadvantag number connect usairway book ticket friend benefit account,neutral,1.339185664146945e-35,1.0745992880425076e-32,4.445924071545755e-33,negative
385,delta jetblu rough idea januari flight made avail,neutral,1.5925886845176423e-24,4.19195132826077e-25,1.4516591082568892e-23,neutral
386,american americanair found midnight last night would think agent lax could relay info bag flt,negative,5.608344982168652e-43,8.878429946745163e-41,8.80338699170563e-43,negative
387,southwest southwestair great flight great view,positive,3.6946975051278494e-14,2.7813480486839916e-17,4.65758815075625e-16,positive
388,unit unit thank rude custom servic hour delay realli help time wise afternoon meet hello delta,negative,1.920686974981079e-41,8.160209083337131e-39,1.2993620506585042e-42,negative
389,unit unit intern flight get new eta air,negative,1.3295310446267435e-21,3.232280866356106e-21,1.055389677522219e-20,neutral
390,virgin america virginamerica cool pictur anoth virginamerica plane wing site,positive,2.0267808157838703e-30,9.24941378629105e-32,1.4454839670995101e-31,positive
391,unit unit sure,negative,3.3922832180064026e-07,6.49688273855197e-07,6.720040944137775e-07,neutral
392,american americanair thank great night team,positive,5.8119785101980835e-15,1.2415850164386746e-16,5.699452320189361e-17,positive
393,american americanair help said chnge retrn flght sinc miss connect sat amp pickng phone hve hrs left,negative,3.541339337775222e-41,1.7975602723817666e-37,3.99404200209607e-40,negative
394,american lol great answer americanair jayfranceschi agent check passeng quick possibl appreci patienc,neutral,7.955595826602049e-37,2.833593909900983e-37,4.033161886867759e-37,positive
395,airway usairway huge prop parizad checkin sacramento help friday get home airlin delay,positive,7.699549212068302e-29,2.3727076793398707e-28,2.7825889019336794e-29,negative
396,american americanair aex still go,neutral,3.5894471234084366e-11,3.384824942899302e-10,7.532921604623027e-11,negative
397,unit unit stand still pilot paperwork fix min problem fix min ago flight delay,negative,8.170265590236969e-43,1.6650607004044324e-38,2.1517490113327664e-43,negative
398,unit unit refund vacat get free room night make make sleep dia,positive,3.7825472622284416e-36,9.75342282899223e-35,6.05484480862118e-36,negative
399,american americanair thank deliveri status,positive,2.7305966591690637e-14,6.379090094747678e-14,2.1279439561081997e-14,negative
400,american americanair much status million mile revenu first class ticket sit coach thank rude staff,negative,1.216320659927106e-47,1.2146606495289608e-46,1.346473231400443e-46,neutral
401,southwest southwestair refer,neutral,0.00010792127302299688,2.2753754913050912e-05,0.00010471934357352023,positive
402,american americanair send gate agent talk joke airlin thank ruin vacat neverflyaaagain,negative,2.6558587187618525e-33,8.99361636688883e-31,3.3667698742119758e-34,negative
403,american americanair could guy follow yall pleas,neutral,4.1987936326684933e-19,1.575586939154606e-20,1.341033945122782e-19,positive
404,american americanair worri even though talk seat assign,positive,4.311759489169807e-25,7.342451968245153e-24,6.997022076116944e-25,negative
405,unit unit mechan delay occur houston earlier today flight ord,negative,4.40200421548917e-25,8.455465083410332e-24,2.226057323587355e-24,negative
406,virgin america virginamerica thank,positive,1.805006391283408e-09,6.310035345756124e-12,8.66236009377261e-11,positive
407,delta jetblu love free wifi legroom seattlebound,positive,1.0111675024786618e-17,2.33287624793465e-19,4.170625814052592e-18,positive
408,delta jetblu session present one belov travel paulgordonbrown see love much,positive,3.570945782662308e-21,4.805680718098825e-24,1.603821092210786e-22,positive
409,american americanair wait line hour san antonio bare move amp two agent front amp least behind,negative,8.075192775060095e-44,9.569342791943762e-41,6.145209436653113e-44,negative
410,american americanair thank keep updat hope make either connect killeen,positive,1.1808290342584993e-24,4.903391313044772e-25,4.62515018590781e-26,positive
411,unit unit baldordash rebook arriv hour late flightr last year hrs san diego inflight entertain,negative,7.00134891999863e-46,3.980517048328963e-41,4.403858053127971e-43,negative
412,virgin america virginamerica great deal alreadi think trip australia amp even gone trip yet,positive,2.629405143362341e-42,3.7917530218167884e-44,1.9079774544584184e-43,positive
413,southwest southwestair stick fli free southwest goe son work wonder compani mom fli free,positive,6.149756047355044e-41,1.9678920542192597e-43,2.976375500848065e-42,positive
414,unit unit first complaint file feb day still respons disappoint surpris,negative,1.19614166565435e-33,2.3168958919903163e-32,1.4353225863293967e-33,negative
415,airway usairway final spoke someon email refund dept love guy hour line told dice suck,negative,6.016686730481028e-45,4.171457758584205e-41,1.2279929413921181e-44,negative
416,american americanair offer autom call back option agent avail call amp sit hold onholdforday,negative,7.316816813585166e-41,2.44750857681188e-35,2.1108218301518753e-39,negative
417,virgin america virginamerica love graphic,positive,2.665423945677571e-10,9.014336208223033e-13,3.165093111186145e-11,positive
418,southwest southwestair add flight account creat,neutral,1.576404268854549e-17,7.210902348439979e-18,9.824600005501464e-17,neutral
419,delta jetblu excit time ahead ___,positive,1.0501950201181893e-17,1.652454008953711e-19,2.508647106197048e-18,positive
420,virgin america virginamerica pleas add frequenc pdx portland,neutral,8.86729667939673e-22,6.793593135332466e-24,1.1015000496996374e-21,neutral
421,unit unit gate agent club staff got prioriti standbi next might minor disast travelingwithsmallkid,neutral,1.892486253608655e-40,6.857196531243795e-39,8.22311604821434e-42,negative
422,unit unit thank noth atlanta loung say sure noth termin,negative,1.2782899981725253e-29,2.533603099053693e-29,8.807139389717175e-30,negative
423,unit unit flight omaha chicago rout nyc seat partner separ pleas fix res ilchp,negative,4.9941597736889405e-37,6.143501404001152e-36,1.0614899805114014e-35,neutral
424,unit unit instead wait plane ottawa never came back home tri tomorrow suitcas still lost,negative,6.952127315470155e-42,4.323289206922456e-38,5.547019271313076e-42,negative
425,american americanair boston airport problem agent honor voucher one number rub,negative,7.40838614515751e-31,7.697969519415087e-29,6.0375929757414515e-30,negative
426,american americanair alway better find equip inop ground air safetyfirst,negative,7.477904074175873e-29,1.6080910773464427e-28,6.863055237873649e-29,negative
427,airway usairway alreadi four time,negative,1.9023856845982043e-14,1.1936740221478426e-13,4.080737170731087e-15,negative
428,delta jetblu flight jfk sfo pure awesom mint class tim attend best airlin take note,positive,5.042369736575181e-40,8.60316754854512e-44,5.976294559918576e-43,positive
