id,tweet,class
600,american americanair polici chang seen peopl hamster rabbit,neutral
601,southwest southwestair spoke soon bag lost,negative
602,unit unit better hold flight tucson land houston hour delay minor comput problem,negative
603,virgin america virginamerica thank free birthday point right,positive
604,unit unit thought thank clarif,neutral
605,american americanair thank _____,positive
606,delta jetblu never delay tpa bdl better safe sorri lovejetblu onlyblu jetblueforev,positive
607,american americanair still wait call back attempt hour put hold onlin tix within seven day window,negative
608,airway usairway know probabl way get cheaper airfar ticket flight leav hour,neutral
609,airway usairway experi except servic cherri denverairport greatservic profession,positive
610,virgin america virginamerica special assist travel alon kid infant prioriti board,neutral
611,unit unit funni none tweet back help want read chang custom get better servic,negative
612,american americanair speed dial,neutral
613,virgin america virginamerica check site look like everi time load,negative
614,unit unit ask boyfriend prom loudspeak flight said yes best day ever thank much,positive
615,delta jetblu foodallergi communiti want continu loyalti need better perhap train,negative
616,unit unit thx,positive
617,unit unit sent,neutral
618,unit unit inform reimburs issu due weather flight keep get cancel flightl thor hate,negative
619,airway usairway best amaz follow pleas ___,positive
620,unit unit thank,positive
621,delta jetblu mayb announc delay sit plane runway hour take,negative
622,southwest southwestair smoooothest flight attend southwestsmoothi,positive
623,unit unit third wheelchair broken,negative
624,unit unit bummer might americanair card instead respons though,negative
625,unit unit flight dfw ord current time see advisori dfw may affect weather,neutral
626,delta jetblu thank help quick respons,positive
627,delta jetblu airway hit new month high jblu wkrb news,neutral
628,unit unit post disappoint frequent unit flyer simpl bad appl spoil bunch,neutral
629,southwest southwestair gotta new record hrs air hrs wait bag deliv destin,negative
630,southwest southwestair poteettj fli delta mco cmh cldnt reach swa rerout swa cancel flightlat voucher wld help,negative
631,unit unit fill hope someon respond book next trip,negative
632,delta jetblu hello good afternoon need know much fli summer june,neutral
633,southwest southwestair minut still talk one person shock phone gonna die talk anyon,negative
634,southwest southwestair follow,neutral
635,american americanair love servic cheap upgrad american provid one best airlin ever good food good seat amaz thank,positive
636,american americanair hope enjoy winterweath brought warm coat glove maria yup new beani,positive
637,southwest southwestair revenu flight sinc begin,neutral
638,unit unit load balanc system appar systemwid major impact unit airlin flight cyberattack,negative
639,unit unit bought round trip chicago two day ago today flight half way get discount,neutral
640,southwest southwestair thank,positive
641,unit unit roundtrip london delta think fyi anoth lost moneynotspentonunit unfriendlyski,negative
642,airway usairway good morn,positive
643,american americanair top onlin record unavail well get anyon phone,negative
644,american americanair someth crew current leg request gate team next leg,negative
645,unit unit pick,neutral
646,delta jetblu direct flight bos lucia antigua,neutral
647,american americanair need frm tpa mci tmrw amp connect thru dfw cancel flightl connect thru diff citi hold hrs,negative
648,airway usairway thank hectic everyon action repres compani well imo,positive
649,delta jetblu mark austin great handl bag issu thank,positive
650,american americanair made thank,positive
651,delta jetblu thank julian login get onto earlier flight back dca,positive
652,delta jetblu cancel flightl flight amp given week appli travel bank credit anoth flight amp credit transfer,negative
653,unit unit super comput ot pant lot cranki peopl line cmh reflight book problem delay check in time direct flyer,negative
654,american americanair,neutral
655,unit unit want hotel room whiskey,neutral
656,delta jetblu sure anyth help great,neutral
657,delta late flight jetblu fleet fleek,neutral
658,airway usairway thank least tweet back better,positive
659,southwest southwestair yes bag came straight hotel thank guy rock,positive
660,unit unit lgjwb voluntarili rerout leg journey economi suppos res agent said reserv,neutral
661,southwest southwestair courtsnod hope nashvill open want come home today,neutral
662,virgin america virginamerica debbi baldwin gave rockstar perform safeti demo even lassfo bestcrew sherock,neutral
663,airway usairway today flight philadelphia littl disappoint unnecessari delay even snow,negative
664,southwest southwestair servic aruba perman discontinu august,neutral
665,delta deltaassist say charact plus follow,negative
666,southwest southwestair due appar water issu check fine check husband alreadi deal first,negative
667,unit unit tag number luggag taken weigh scale appear sent conveyor belt without tag,negative
668,southwest southwestair theacademi parti hotlanta,neutral
669,unit unit flight gate tell ray somehow made flight iah wait one,positive
670,unit thnx respons unit bot seem improv could easili attain class servic realli worth,neutral
671,american americanair hey flight dfw stuck gate gate agent plane full peopl miss connect,negative
672,delta jetblu plane stuck newburgh start weather relat flightd well passeng plane hrs,negative
673,airway usairway week,neutral
674,unit unit annricord agent said would refund agent said unit never sold ticket,negative
675,virgin america virginamerica help step tinder game tindertip tinderchamp,neutral
676,delta stop mad jetblu fleet fleek,neutral
677,delta alway look forward jetblu bostongarden look forward welcom onboard,positive
678,american americanair miami agent rachel wong marisol pimentel pleasant world chao big thank,positive
679,airway usairway thank,neutral
680,unit unit abl send good,positive
681,southwest southwestair hot stewardess flip,positive
682,american americanair lost basket ballbag plane,negative
683,southwest southwestair wish allow access site award track,neutral
684,unit unit chanc flight delay nervous drive dfw weather drop brother,neutral
685,southwest southwestair rndtrp djq_kc djimpact tri make travel reserv vega may late flight,neutral
686,airway usairway wrongansw talk cheap custom servic action make thing right custom fail,negative
687,southwest southwestair twitter say someon unless follow southwestair follow twitter thank,negative
688,american americanair mail adress send ceo doug parker letter hope read,neutral
689,virgin america virginamerica airlin awesom lax loft need step game dirti tabl floor,negative
690,airway usairway good understand terminolog merger bring new verbiag,neutral
691,unit unit delay due custom servic mean,negative
692,american americanair thank,positive
693,unit unit hotel peopl feel like held hostag someon board pass leav fail,negative
694,southwest southwestair thank yall expect oper tomorrow nashvill,positive
695,american americanair airport extra night hotel heard anyth embarrass airlin say,negative
696,delta jetblu thank sent msg,positive
697,airway usairway worri flight attend took care,positive
698,southwest southwestair thank,positive
699,american americanair said work time dfw secur entranc pre check wherea paid servic,neutral
700,airway usairway alright pleas give scott bdl bonus excel custom servic,positive
701,unit unit sent lack custom servic get ridicul,negative
702,delta jetblu dmed thank much address quick,positive
703,airway usairway time today phl nice work thereisafirstforeveryth,positive
704,unit unit reebok rockinwel denver intern airport,positive
705,southwest southwestair fortunemagazin love forever_____,positive
706,unit unit lost voucher given miami aeroport jan use,neutral
707,american americanair watch parent break stroller amp tell look fine print,negative
708,virgin america virginamerica add dtw sold,neutral
709,airway usairway good luck get cool,neutral
710,american americanair way,neutral
711,unit unit sure call custom care custom care,negative
712,american americanair custom servic suck rep yell caller regard weather dfw hope bankrupt,negative
713,american americanair want stay overnight airport sinc morn,negative
714,airway usairway know suicid second lead caus death among teen,neutral
715,southwest southwestair tomvh get credit card get point famili way,neutral
716,american americanair kid think done call dozen time amp tell call back amp hang,negative
717,unit unit follow,neutral
718,american americanair need refund,negative
719,virgin america virginamerica thank,positive
720,southwest southwestair jump gun littl cancel flight flight airlin cancel flight louisvill ruin vacat,negative
721,southwest southwestair scaveng hunt boston,neutral
722,delta jetblu thank great recap abl sleep nervous bad guy get away,positive
723,southwest southwestair pleas last ticket best friend destinationdragon,neutral
724,american americanair need yyz tmr morn switch unit alreadi bag still land,negative
725,airway usairway hmmm flight even realli exist creat last night get peopl back usairsuck,negative
726,southwest southwestair would love win ticket take son imagin dragon provo saturday night cross finger destinationdragon,neutral
727,southwest southwestair hold southwest hour automat hang iusedtoloveu,negative
728,virgin america virginamerica anoth perfect flight come plane sun visor stay carrier make rais,positive
729,delta jetblu disappoint lack compass baggag servic dept near beg get courtesi report,negative
730,southwest southwestair thank quick respons call daili wait day,positive
731,virgin america virginamerica ssal thank,positive
732,airway usairway shoutout kristi gate pvd today rockstar tremend help tough situat promotethatgirl,positive
733,unit unit pls help babi hannah get life save surgeri requir need help pls donat,neutral
734,unit unit tri charg buck lower award ticket want get hard earn point back total,negative
735,southwest southwestair passngr requir wheelchair plane sit exit row wld physic capabl help emerg,neutral
736,airway usairway hey let know worst fuck servic ever use thank noth,negative
737,unit unit told wrong carousel number,neutral
738,unit unit child birthdat full name,neutral
739,southwest southwestair follow,neutral
740,delta jetblu seem friend speak high well need find decent price way yvr sea overnight,positive
741,american americanair yes issu site well unfortun,negative
742,southwest southwestair could mayb hook fuyukaidesuyo imagin dragon ticket tonight shes hugeeee fan amp would realli love,neutral
743,unit unit thank keep good work,positive
744,delta jetblu ceo pilot among ardent fan wall street poughkeepsi journal,neutral
745,southwest southwestair hold almost hour luv imjustsay ___,negative
746,unit unit decept market practic promis book flight would retain status grant neverflyunit,negative
747,unit unit understand tri flight book problem sever time passeng amp got messag mention agent price,neutral
748,american americanair necessari confid excel flight staff make appropri report,positive
749,southwest southwestair thank thank thank last attempt win destinationdragon ticket success could happier,positive
750,unit unit either fine howev plunder hard earn dollar fine,negative
751,delta jetblu thank much effort,positive
752,american americanair thank,positive
753,unit unit thank prompt respons anoth hour enjoy vacat perhap bug app still show,positive
754,unit unit pleas premier platinum,positive
755,southwest southwestair yrs amp live tulsa swa alway take see love southwestluvsweep,positive
756,unit unit ntrustopen golfunit,neutral
757,airway usairway black hole phone system,negative
758,delta jetblu dump amex nassau news live,neutral
759,unit unit delay unit gate agent borderlin rude ask flight status question happen unit,negative
760,delta jetblu fleet fleek lmaoooo ____,neutral
761,delta jetblu call well hook,neutral
762,southwest southwestair flight continu vega stop upset stowaway,neutral
763,airway usairway fun,positive
764,airway usairway americanair someon help travel issu today,neutral
765,unit unit receiv bag appreci take care matter follow,positive
766,unit unit far worst airlin ever,negative
767,american americanair wait time hour talk exec plt agent go,negative
768,american americanair great job great servic sdf weekend winter storm,positive
769,unit unit thank,neutral
770,southwest southwestair yes much look forward use airlin futur flight never,negative
771,american americanair check des moin lay ord final destin austin texa baggag check ord,negative
772,southwest southwestair custom servic terribl terribl thought know,negative
773,american americanair go speak custom servic airport tomorrow morn see option need flight tomorrow,neutral
774,unit unit land chicago saw alreadi airborn,neutral
775,virgin america virginamerica mobil site broken show header elevateus numofpointsavail number point let checkin,negative
776,airway usairway worst custom servic ever,negative
777,airway usairway bag polici say stroller car seat need bring car seat stroller call detail,neutral
778,unit unit link messag repli thparti itproblem,neutral
779,airway usairway told return call human,negative
780,american americanair advis gas pilot flight bad one took action,negative
781,airway usairway keep miss updat connect need make jax friend wed strandedattheairport,negative
782,airway usairway thank,positive
783,airway usairway melinda reserv greensboro absolut jewel thank amaz,positive
784,american americanair went check flight advanc husband seat separ flight happen,negative
785,american americanair hour still bag could flown costa rica back gift famili bag,neutral
786,airway usairway truli dissapoint flight delay go miss connect expect rebook flight,negative
787,american americanair thank email long expect respons,positive
788,southwest southwestair flight hour long one best flight ever kudo flight crew airlin general,positive
789,delta jetblu amybruni directtv cours bestdress bluecarpet,positive
790,virgin america virginamerica sign bonus enrol elev,neutral
791,unit unit ticket refund purchas brother fli could use refund credit fli respond,neutral
792,delta jetblu also way get print one record keep whenev fli,neutral
793,southwest southwestair southwest still best airlin around hate baggag room run check bag headphon,positive
794,airway usairway call volum high best answer hang,negative
795,southwest southwestair flight nsw depart mco enrout indianapoli intern airport,neutral
796,southwest southwestair thank see next wednesday fll save peanut,positive
797,airway usairway,positive
798,southwest southwestair would brighter star combin red carpet tonight,positive
799,southwest southwestair guy awesom dontchangeath luv,positive
800,delta jetblu hour delay hour increment realli amp mosaic still pay use loung wast sunday,negative
801,american americanair lax amp got phone reserv everi flight get bos tmrw appar unavail,neutral
802,southwest southwestair sure fhkte schedul leav weekend need push octob,neutral
803,unit unit lose luggag hotelstonight lose reserv hour travel day want get startingbloc,negative
804,unit unit diverg burlington vermont suck,negative
805,unit unit usual issu express sfo posit note mainlin enjoy,negative
806,unit unit pricey chase mileag plus,neutral
807,american americanair reflight book problem follow day unaccept dming phone number,negative
808,delta jetblu tsa jetblu never disappoint,positive
809,unit unit sure happen msp yesterday unhappi bag delay sat msp hrs deliveri,negative
810,american americanair cancel flightl flight fresno rebook lax flight cancel flightl midnight hotel avail,negative
811,delta jetblu appli new tag left bag ground rather load convey belt walk back yard,negative
812,airway usairway complet wast day trip work turn sit plane day ridicul,negative
813,unit unit thousand fan jedediahbila ask give utmost effort get safe flight baggag soon,neutral
814,delta jetblu excel guy best,positive
815,unit unit done done,neutral
816,american americanair tri track back two attende help,neutral
817,southwest southwestair opal dragon book dragon ali woven murder way philippin australia,neutral
818,virgin america virginamerica morn question regard elev point amp flight,neutral
819,american americanair show plane,neutral
820,unit unit surpris last year noth year happen soft land polici level,neutral
821,american americanair got back eventu rollercoast got airport amp got speak someon thing got fix quick,positive
822,unit unit big thank winston assist phone baggag claim issu today realli went extra mile,positive
823,southwest southwestair imaginedragon destinationdragon tix spare wanna see show friday friend hayleymad,neutral
824,southwest southwestair ceo kelli draw record crowd bwi_airport busi partnership breakfast,neutral
825,unit unit wifi work onboard alert attend socket sent hotel hour voucher wifi hotel,negative
826,delta jetblu tri love custom servic thank,positive
827,unit unit appreci immedi offer suspect long term issu simpl fix also ski bootbag polici awkward best,negative
828,unit unit thank explan seem like odd incent structur tho dramat diminish valu cert,positive
829,delta jetblu ask heavi gun know iwoulddoanythingforlov brandmanc lovesongfriday,neutral
830,delta jetblu back haiti deliv shoe book amp medicin kid met orphanag last year flyingitforward,neutral
831,delta jetblu probabl find ticket,negative
832,unit unit thank,positive
833,delta yasssss fuccc jetblu fleet fleek,neutral
834,southwest southwestair rescu sundown chicago next stop san antonio,neutral
835,american americanair flight time late flight though,positive
836,unit unit get name dalla flight chicago,neutral
837,unit unit den phx flight tomorrow cancel flight ask overnight nite lax sna told without pay wrong,negative
838,unit unit bag final deliv intact thank assist,positive
839,airway usairway despit mechan issu mani delay follow cancel flightlat still get vega thank great gate agent,positive
840,delta jetblu thank next weekend though guess higher,neutral
841,southwest southwestair commit okay pleas hook destinationdragon,neutral
842,delta block bike jetblu fleet fleek,neutral
843,american americanair bdindalla person touch known cool perk blame understaf weather hold time,negative
844,virgin america virginamerica thank great custom servic today amp help get travel sort,positive
845,delta jetblu want custom long beach airport futur intern flight ericbradleypt briansum,neutral
846,unit unit need chang flight tuesday sooner attend ail parent need help custserv,neutral
847,southwest southwestair think flight suppos houston well case someon could check,neutral
848,southwest southwestair want southwest know think great use anymor noth look,negative
849,american americanair south snow atl,neutral
850,american americanair know control weather control treat custom shaft,negative
851,delta jetblu fleet fleek,neutral
852,delta jetblu good know thank much,positive
853,unit unit mile earn explor card count toward lifetim mile,neutral
854,american americanair sensit fact believ warrant poor servic littl help amp compass goe long way,negative
855,virgin america virginamerica flight vega boston today check onlin bag count regist fix somehow,negative
856,unit unit great custom servic thank,positive
857,american americanair nicest peopl ever flight chicago thank david dean amp norma sedholm make feel comfort,positive
858,airway usairway americanair flight four subsequ delay destroy travel plan even look resolv matter,negative
859,airway usairway glad spend hour tri track basic inform alreadi avail,negative
860,delta jetblu chair could use tlc power outlet area would bonus head universalorl,positive
861,delta jetblu short stop jfk iad,neutral
862,southwest southwestair thank,neutral
863,unit unit servic staff great usual cleanli smell bit much back satisfi travel,positive
864,delta ninadavuluri think treat onboard enjoy flight,positive
865,unit unit broken light min get bridg gate airplan park wrong bathroom empti last night airlin last hrs,negative
866,delta jetblu hate internet lol,neutral
867,southwest southwestair jlittl doubl comment phl anywher south florida gone gone gone hello air,negative
868,airway usairway know deal weather phlairport hot mess pls send reinforc,negative
869,unit unit stuck airport hour standbi cuz pilot show late flight pjs amp miss connectin flight tell nyfw,negative
870,unit unit see hour thank,neutral
871,delta jetblu great thank let hope could pleas notifi flight leav jfk thank,positive
872,airway usairway go plan understat flight chang famili emerg cancel flight,negative
873,american americanair tomorrow site show flight ewr cancel flightl,negative
874,delta jetblu mosiac,neutral
875,southwest southwestair way know check bag curb awesom want sure get high five,positive
876,southwest southwestair honest expect fast respons thank chiberia,positive
877,airway usairway thank hour layov too_ ice cake least staff courteous help unreal,positive
878,unit unit would great,positive
879,virgin america virginamerica pair includ red wine white offer redwineisbett,negative
880,delta jetblu custom servic ment anyth would tri quot polici never effect custom servic,negative
881,delta jetblu thank alway amaz custom servic bring disney princess half marathon,positive
882,airway usairway thx gate agt john pascucci find flight clt pvd origin one cancel flightl,positive
883,american americanair hold almost hour ridicul,negative
884,southwest southwestair honesti alway polici,neutral
885,american americanair yes yes yes glad head home,positive
886,american americanair thank look forward respons,positive
887,unit unit guy awesom thank,positive
888,american americanair love new plane jfk lax run mayb one day one amen function nocharg ever,positive
889,unit unit chase say referr bonus thank,neutral
890,southwest southwestair done,neutral
891,airway usairway provid poor custom servic respond complaint copi past templat flight unrel flightd complaint usairwaysfail,negative
892,unit unit grandma ella would love birthday greet flight crew stewardess eastern airlin,neutral
893,delta jetblu thank guy awesom,positive
894,airway usairway rude arrog gate personnel uncal unprofession theworst,negative
895,southwest southwestair lol alreadi card member well lol enjoy fli guy,positive
896,american americanair thank help guy best americanairlin americanair,positive
897,unit unit prioriti iov,positive
898,american americanair one question wife get bonus call today,neutral
899,delta jetblu weepysweetmonti heard your plan let peopl fli overhead compart would,neutral
900,airway usairway jdbwaffl excit fli spring break,positive
901,delta jetblu ccndjp send screen shot system error email address provid,negative
902,delta jetblu lgb sunni cal,neutral
903,unit unit power outlet seat hour flight california serious airlin fail pathet,negative
904,southwest southwestair want bad know mail help wmnlife hotmail com,neutral
905,airway usairway hour minut hold count thank help customerservic brutal,negative
906,unit unit flt delay mainten fix board flight crew stay board area fail,negative
907,delta jetblu websit access flight info,negative
908,southwest southwestair quick question let say book flight drop price get cheaper rate,neutral
909,airway usairway star align connect flight delay clt made thank glad know someon listen time mobay,positive
910,american americanair spent choppiest feed whiplash ever americanairlinesfail iwantmymoneyback,negative
911,american americanair umm unexpect unexpect mean guy know major staff shortag,negative
912,virgin america virginamerica thank much awesom support guy rock,positive
913,southwest southwestair glassdoor best place work snag overal notsurpris luvthem,neutral
914,unit unit kid send stuff thank,neutral
915,american americanair hour answer call,neutral
916,virgin america virginamerica battl southwestair dallaslovefield austinairport rout via usatoday,neutral
917,delta jetblu screw last time southwestair glad give busi jetscrew awfulcustomerservic,negative
918,delta jetblu thank,positive
919,unit unit thank unit understand would actual like bag back done also want money,negative
920,unit unit thank sign notif shall watch wait,neutral
921,southwest southwestair take electr skateboard domest flight polici list site regular board appli,neutral
922,airway usairway happen locat,negative
923,southwest southwestair southwest airlin way,positive
924,southwest southwestair wait thank respons,positive
925,airway usairway thank,positive
926,virgin america virginamerica hot femal pilot sweet dca sfo,positive
927,american americanair motor usual start engin broke cvgairport ground crew fail time per pilot mainten,neutral
928,southwest southwestair apolog accept customerservicewin itravelalot,positive
929,delta jetblu delay cabcel,neutral
930,unit unit play bizarr safeti video ever seen,neutral
931,southwest southwestair lacma fairfax,neutral
932,southwest southwestair receiv birthday card amaz made smile joy nice video thank,positive
933,american americanair koa lax phl ord book way savr awrd call chnge koa lax phx ord would pay fee,neutral
934,unit unit nope set thx check,positive
935,virgin america virginamerica ipad iphon click checkin link email receiv hrs flight,neutral
936,unit unit cours inflight crew great,positive
937,airway usairway cakendeath question ladi behav,neutral
938,southwest southwestair thx make right help meagan fouti brancato dfw gate preboard kid group pleas pleas,positive
939,american americanair thank much,neutral
940,virgin america virginamerica fli lax sfo look awesom movi lineup actual wish long haul,positive
941,american americanair would also like say kind move ad point,positive
942,american thank americanair much appreci,positive
943,unit unit round trip,neutral
944,delta jetblu complet wast entir day pathet,negative
945,american americanair free check bag food comp fli credit someth help addit dollar hole,negative
946,virgin america virginamerica make bos las non stop perman anytim soon,neutral
947,delta jetblu definit thank,positive
948,southwest southwestair dmed confirm number,neutral
949,southwest southwestair blow custom servic shotwest airlin,negative
950,delta ___ jetblu fleet fleek,neutral
951,unit unit hour mainten delay enuf charg bag global servic platinum mbr get shit togeth,negative
952,unit unit shes reschedul today frigid cold possibl reason mainten could issu day,negative
953,unit unit well fix miss buddi bday neglig attempt make,negative
954,airway usairway help flight cancel flight call phone work europ pleas help say book want confirm,negative
955,unit unit staff deck cabin sfo bos except today pleas tell well done,positive
956,delta jetblu site thelodg fun day yeniettelswood andrewbiga codyclev heidimacey motherpollock,positive
957,delta jetblu spoken rep allow check bag tsa checkpoint guarante talk someon,negative
958,airway usairway best airway follow pleas ___________________________,positive
959,american americanair return flight schedul wednesday believ thank help,positive
960,american americanair lpalumbo weather sun,negative
961,unit unit crew,neutral
962,southwest southwestair sign,positive
963,airway usairway useless airway day tri get home standbi result cancel flightlat usairway,negative
964,airway usairway strand bwi two divers cust servic transport dump terribl custom servic,negative
965,southwest southwestair black histori commerci realli sweet well done,positive
966,delta aww jetblu guess need book flight somewher warm asap suggest,neutral
967,airway usairway nightmarish custom servic elit member appal,negative
968,airway usairway delay day weather top got yell late flight notifi time chang welldon,negative
969,unit unit leigh_emeri like hear anyth help thank anoth empti offer help,negative
970,delta jetblu thank help,positive
971,virgin america virginamerica thank gate check baggag full flight dfw lax give earli board sweet,positive
972,delta jetblu bag bag full,neutral
973,unit unit illeg breach contract touch custom feedback,negative
974,virgin america virginamerica email custom servic team let know need track number,neutral
975,american americanair thank idk still late flight hope get tonight,positive
976,unit unit jmc noth like support mechan mainten worker instead unit put video timco wifi,negative
977,unit unit cool need work today get home make sure hous wind chill,neutral
978,airway usairway disgust poor custom servic wrong remov mile dividend mile live person,negative
979,unit unit okay thank help appreci time,positive
980,delta jetblu ceo battl appeas passeng wall street thevdt,neutral
981,unit unit cancel flight flight rebook ad flight drive denver thank,neutral
982,airway usairway sure,neutral
983,southwest southwestair thank wait either,positive
984,american americanair usairway statement sent yesterday like jeanin said even call last night well excel servic,positive
985,southwest southwestair thank lindsey amp southwest twitter team great servic amp speedi resolut luvag swa,positive
986,delta jetblu australia enjoy land alway bucket list flyingitforward,neutral
987,virgin america virginamerica atlant plough lone furrow middleeast thenationalua,neutral
988,unit unit refus board nexus nexus confirm refus,negative
989,southwest southwestair thank much make cancel flightlat sent info,positive
990,southwest southwestair got next time know pay extra make line,neutral
991,southwest southwestair thank,positive
992,unit unit rep hung min hold ask supervisor furious right,negative
993,virgin america virginamerica spruce moos,neutral
994,unit unit ord dca,neutral
995,delta jetblu connecticut,neutral
996,southwest southwestair hey southwest help find flight nashvill washington raleigh march pleas,neutral
997,unit unit read full stori submit case team pilot flight sleep dia,negative
998,southwest southwestair what flight myer milwauke,neutral
999,southwest southwestair better defin plus one smaller type item carri requir small backpack,neutral
1000,southwest southwestair love air travel get easier,positive
1001,unit unit today staff msp took custom servic new level father pass away last night amp help get home today thank,positive
1002,unit unit plane come delay almost hour plane,negative
1003,unit unit rush degre weather get airport time bad pilot stillwait,negative
1004,delta jetblu start look flight,neutral
1005,airway usairway probabl lose famili world travel custom due broken process americanair hope fix,negative
1006,american americanair thank good suggest check rebook keep check look flight,positive
1007,american americanair airport snow remov method keep good work folk cessna becom,positive
1008,airway usairway worst fli experi guy need better,negative
1009,american americanair gold elit loyalti custom count hometown prefer airlin right bum,negative
1010,american americanair yep one camera memori card,positive
1011,unit unit flight cancel flight trip refund without difficulti staff extrem help complaint way handl bad weather,positive
1012,american americanair kconti look like jfk great pic oneworld jet line opposit side air berlin lan,neutral
1013,american americanair yes thank found see gray tab first,neutral
1014,american americanair also hold minut custom servic find new flight schedul site suck,negative
1015,american americanair cancel flightl flight without courtesi notifi altern poor,negative
1016,unit unit land anchorag way fairbank,positive
1017,american americanair navi sister flight cancld get agent call back put hold amp discnct help,negative
1018,southwest southwestair made standbi flight cancel flight reason almost hrs late flight conf fvfyw swrr,negative
1019,airway usairway guy general enquir email address pleas thank david,neutral
1020,southwest southwestair come mobil proceed enter postcod purchas ireland postcod,neutral
1021,unit unit book flight start red eye lax bos reclin seat lastflightwithyouev,negative
1022,unit unit eat airport areyounew incompet nonumb feeltheheat,neutral
1023,delta jetblu employe charl cave gate msi went beyond help tri help find glass thought know,positive
1024,airway usairway thank help favorit airlin,positive
1025,virgin america virginamerica grandma ella would bday greet flight crew stewardess eastern airlin,positive
1026,airway usairway thank,positive
1027,unit unit strand weather blame hold speak agent understand concept time zone thank,negative
1028,airway usairway transfer pleeeeeeeeas help,negative
1029,american americanair cancel flight flight left help find hotel stay slept airport night,negative
1030,unit unit email jim compton jeff smisek hope pay attent,neutral
1031,unit unit alreadi,neutral
1032,unit unit sloppi stuff see anymor unit rais expect team poor,negative
1033,southwest southwestair flight cancel flightl let rebook onlin wait time phone long pleas help,negative
1034,airway usairway thank resolv issu direct flight sfo unit,positive
1035,american americanair wait hold two hour call realli unreli,negative
1036,american americanair one checkpoint open jfk termin ridicul,negative
1037,delta jetblu thank good sunday,positive
1038,unit unit bull crap spent recent trip small chang got mile would,negative
1039,airway usairway day row buy suggest review polici respect unaccompani minor seat sun,negative
1040,southwest southwestair great experi custom servic team thank luvsw list,positive
1041,delta jetblu yup know fault ideal sittin hour alway staff great,positive
1042,airway usairway control weather flight attend control green acu bag hrs amp count yep,neutral
1043,airway usairway flight carryon miss stollen plane left gate worst custom servic seem anyon concern,negative
1044,southwest southwestair outlin polici scenario,neutral
1045,airway usairway tweet apolog enough delay fiasco none insult gate agent wors except mark bad clt,negative
1046,unit unit flight descend farc left ewr yet go get wors,negative
1047,southwest southwestair figur stream work per tos nascar site take longer minut load,negative
1048,unit unit obvious,neutral
1049,delta jetblu would las vega gorgeous everi year fli guy vega gorgeous amp much,positive
1050,southwest southwestair realli easi local get strip book,positive
1051,delta jetblu okay thank hope fli guy soon,positive
1052,delta jetblu fli airlin actual gave crap flier outsid generic apolog jet blue terribl jetblu,negative
1053,unit unit want compliment phone agent jeanett reflight book problem rdu sea thru sfo connect flight thru ewr cancel flightl,positive
1054,american americanair yay thank appreci help know nut right cold ice,positive
1055,american americanair bird could fli south america exampl argentina,neutral
1056,airway usairway liter say case open good,negative
1057,delta jetblu fli infant time bring canist powder formula carri use plastic formula divid,neutral
1058,delta jetblu abcnetwork pleas give jetblu permiss world miss oscar right aw whyabcwhi,positive
1059,delta jetblu show sens humor tongu cheek flight etiquett video,positive
1060,airway usairway team member dca tamara name awesom employe like,positive
1061,southwest southwestair final got hour set thank,negative
1062,southwest southwestair get ticket feb imagin dragon show,neutral
1063,delta jetblu eta flight orlando morn,neutral
1064,delta jetblu mani delay north east citi,negative
1065,american americanair thank much help lot,positive
1066,southwest southwestair could control weather las vega,neutral
1067,virgin america virginamerica great week,positive
1068,american americanair thought plane retir,neutral
1069,delta yall tri jetblu fleet fleek,positive
1070,airway usairway employe respons social media content yes probabl care howev action last night say otherwis,negative
1071,southwest southwestair best airfar price gotta luv,positive
1072,unit unit ticket pleas refund unnecessari upgrad fee,negative
1073,unit unit cool thank,positive
1074,unit unit fli americanair normal happen let flyer provid feedback thank,negative
1075,american americanair usairway day come suppos get money back bank receiv anyth,negative
1076,delta jetblu selfi flight jfk orlando supertzar,neutral
1077,airway usairway realli nigga fuck boy,negative
1078,american americanair hello cannot regist tomorrow flight pari las vega featur current unavail appear,neutral
1079,southwest southwestair possibl book refund trip will pay extra would domest round trip flight,neutral
1080,unit unit hello unit take care call center mexico citi offic terribl attitud ladi help,negative
1081,delta jetblu absolut miss connect caus miss ferri viequ get viequ also flight voucher prbound,negative
1082,southwest southwestair told custom servic custom relat extend expir date unus travel fund,negative
1083,airway usairway charlott staff need prayer disappoint respons mishap lotttttttt piss peopl,negative
1084,southwest southwestair beauti fleet perfect even fli,positive
1085,american americanair go sinc take option gave type refund,negative
1086,american americanair thank info super larg passeng extra seat big need one sit alreadi customerservic,negative
1087,delta jetblu hope look nice warm san juan,neutral
1088,unit unit router top fuselag,positive
1089,unit unit want let know wonder rosetta gate agent work flight dan ase let know wasappreci,positive
1090,unit unit flight houston,neutral
1091,delta jetblu love jetblu truebluememberlif,positive
1092,american americanair appreci,positive
1093,delta jetblu name angel serious cool truli fantast servic,positive
1094,airway usairway mad love nyc,neutral
1095,delta jetblu professorpaul alway happi help,positive
1096,delta jetblu thank,positive
1097,unit unit need chang way custom servic handl wait supervisor contact day give,negative
1098,southwest southwestair nvm gate said hold connect thank quick respons,positive
1099,delta jetblu submit feedback gripeo good way handl baggag custom,negative
1100,southwest southwestair open seat flight pvd mco today,neutral
1101,unit unit well big terribl high expect point,negative
1102,american americanair cancel flightl flight due weather other fli fine compens resolut incompet,negative
1103,american americanair flight cancel flightl get desk noth show onlin reserv,negative
